Name,Description,Quantity,Manufacturer 1,Supplier 1,Supplier Unit Price 1
BOJACK 2N2222,NPN 60V 0.8A 0.5W 250MHZ Power General Purpose Transistors (Pack of 200),1,BOJACK,Amazon,$6.99
Rubycon 47uF 50V,6.3x11mm Electrolytic Capacitor Low ESR 0.3Ω Long Life Radial Lead (Pack of 15),1,Rubycon,Amazon,$6.49
Bridgold 2N7000,N-Channel Enhancement Mode Field Effect Transistor 60V 20mA TO-92 (100pcs),1,Bridgold,Amazon,$6.99
1000 PCS Resistor Kit,1/4 W +-1% Premium Metal Film Resistors Assortment Kit 25 Values,1,,Amazon,$5.79
California JOS 5mm LED,50 PCS Colorful Light Diodes Assorted Kit,1,California JOS,Amazon,$4.59
DEYUE Breadboard Set,6 PCS 400 Pin Solderless Prototype Board Kit,1,DEYUE,Amazon,$7.99
BOJACK Potentiometer Kit,15 Values 150 pcs 100 Ohm - 2M Ohm Variable Resistor 6mm,1,BOJACK,Amazon,$12.99
TAODAN PC817 Optocoupler,50pcs DIP 2.54 mm Pitch 4-pin DIP-4 IC Chipset,1,TAODAN,Amazon,$5.98
,,,,,$57.81
